昵称,个人主页地址,境内外网站,网站类别,信源级别（低中高）,信源属性（综合、维权、涉政等）,ID,名称,备注,
路透中文网,http://cn.reuters.com/,境外,境外网站,高,境外媒体,3432,路透社,数据停采，python采集,问题
法广中文网（港澳台）,http://cn.rfi.fr/港澳台/,境外,境外网站,高,境外媒体,239087,法国广播电台_港澳台,OK,
苹果日报（两岸国际）,https://hk.news.appledaily.com/daily/international/,境外,境外网站,高,境外媒体,112189,苹果日报_两岸国际,数据停采，python采集,问题
法广中文网（中国  ）,http://cn.rfi.fr/中国/,境外,境外网站,高,境外媒体,239086,法国广播电台_中国,OK,
万维读者网,http://www.creaders.net,境外,境外网站,高,境外媒体,500,万维网,修改，试采OK,
万维网,http://www.creaders.net/,境外,境外网站,高,境外媒体,500,万维网,修改，试采OK,
苹果日报（即时新闻 焦点）,https://hk.news.appledaily.com/realtime/top/,境外,境外网站,高,境外媒体,112190,苹果日报_即时焦点,数据停采，python采集,问题
雅虎中国,https://www.yahoo.com/,境外,境外网站,高,境外媒体,2780951,yahoo,修改，试采OK,
多维（经济）,http://economics.dwnews.com/,境外,境外网站,高,境外媒体,6124,多维网_经济,OK,
博闻社（财经）,https://bowenpress.com/news/bowen_category/money,境外,境外网站,高,境外媒体,2607878,博闻社_财经,数据停采，python采集,问题
博讯（滚动),http://www.peacehall.com/rolling.shtml,境外,境外网站,高,境外媒体,156771,博讯网_滚动,数据停采，python采集,问题
博闻社,https://bowenpress.com/,境外,境外网站,高,境外媒体,2607868,博闻社,数据停采，python采集,问题
明报（新闻),https://news.mingpao.com/pns/明報新聞網/web_tc/main,境外,境外网站,高,境外媒体,129097,明报_新聞,OK,
路透中文网(资讯）,https://cn.reuters.com/news,境外,境外网站,高,境外媒体,249479,路透社_资讯,数据停采，python采集,问题
法广中文网（人权）,http://cn.rfi.fr/人权/,境外,境外网站,高,境外媒体,239095,法国广播电台_人权,OK,
明镜网（ 新闻）,http://news.mingjingnews.com/,境外,境外网站,高,境外媒体,458608,明镜新闻,OK,
万维网（论坛）,http://bbs.creaders.net/politics/,境外,境外网站,高,境外媒体,250688,万维论坛_天下论坛,OK,
明镜网（广播）,https://www.youtube.com/channel/UC6xKvXKdFxPYjZGc5idYycA,境外,境外网站,高,境外媒体,2519072,Youtube_明镜新闻台,数据停采，python采集,问题
博闻社（独家）,https://bowenpress.com/news/bowen_category/exclusive,境外,境外网站,高,境外媒体,2607874,博闻社_独家,OK,
德国之声中文网,http://www.dw.de/在线报导/s-9058,境外,境外网站,高,境外媒体,6828,德国之声中文网,OK,
多维网,http://www.dwnews.com/,境外,境外网站,高,境外媒体,498,多维网,OK,
明报,https://www.mingpao.com/,境外,境外网站,高,境外媒体,6295,明报,部分板块停采，python采集,问题
博讯（港澳台),http://news.boxun.com/news/gb/taiwan/page1.shtml,境外,境外网站,高,境外媒体,6899,博讯网_港澳台新闻,数据停采，python采集,问题
明镜网（ 电视）,http://tv.mingjingnews.com/,境外,境外网站,高,境外媒体,2041772,明镜新闻_電視,OK,
明镜网,http://s1.mingjingnews.com/,境外,境外网站,高,境外媒体,458608,明镜新闻,OK,
苹果日报,http://tw.nextmedia.com,境外,境外网站,高,境外媒体,,,网站打不开,
联合早报（新闻）,http://www.zaobao.com.sg/znews,境外,境外网站,高,境外媒体,2996934,联合早报_新闻频道,OK,
纽约时报中文网（镜头）,https://cn.nytimes.com/lens/zh-hant/,境外,境外网站,高,境外媒体,2623687,纽约时报中文网_镜头,OK,
纽约时报中文网（观点与评论）,https://cn.nytimes.com/opinion/zh-hant/,境外,境外网站,高,境外媒体,601385,纽约时报中文网_观点与评论,OK,
博讯（排行),http://news.boxun.com/tops.shtml,境外,境外网站,高,境外媒体,156770,博讯网_排行,OK,
明镜时报,http://www.mingjingtimes.com,境外,境外网站,高,境外媒体,2833655,明鏡時報,修改，试采OK,
东网（港澳）,http://hk.on.cc/hk/news/index.html,境外,境外网站,高,境外媒体,465518,东方报业集团_港澳,OK,
明报（即时新闻),https://news.mingpao.com/ins/即時新聞/web_tc/main,境外,境外网站,高,境外媒体,112608,明报_即时新闻,OK,
路透中文网(时事要闻）,https://cn.reuters.com/news/generalnews,境外,境外网站,高,境外媒体,104920,路透社_时事要闻,数据停采，python采集,问题
东网,http://hk.on.cc/hk/news/,境外,境外网站,高,境外媒体,2167782,东方报业集团,部分板块停采，python采集,问题
美国之音中文网,http://www.voachinese.com,境外,境外网站,高,境外媒体,468,美国之音中文网,部分板块停采，python采集,问题
路透中文网(深度分析）,https://cn.reuters.com/news/analyses,境外,境外网站,高,境外媒体,104917,路透社_深度分析,数据停采，python采集,问题
万维网（博客）,http://blog.creaders.net/,境外,境外网站,高,境外媒体,252580,万维博客,改版，试采OK,
东网（大陆）,http://hk.on.cc/cn/news/index.html,境外,境外网站,高,境外媒体,,,板块不存在,
明报（文摘),https://news.mingpao.com/ins/文摘/web_tc/section/20171128/s00022,境外,境外网站,高,境外媒体,56295,明报_即時新聞文摘,OK,
万维网（视频）,http://video.creaders.net/,境外,境外网站,高,境外媒体,253529,万维网_万维视频,OK,
纽约时报中文网（中国）,https://cn.nytimes.com/china/zh-hant/,境外,境外网站,高,境外媒体,4011931,纽约时报繁体_中國,新配，试采OK,
法广中文网（政治）,http://cn.rfi.fr/政治/,境外,境外网站,高,境外媒体,239096,法国广播电台_政治,OK,
苹果日报（要闻港闻）,https://hk.news.appledaily.com/daily/local/,境外,境外网站,高,境外媒体,112188,苹果日报_要闻港闻,数据停采，python采集,问题
东网（台湾）,http://hk.on.cc/tw/news/index.html,境外,境外网站,高,境外媒体,,,板块不存在,
法广中文网（社会）,http://cn.rfi.fr/社会/,境外,境外网站,高,境外媒体,239098,法国广播电台_社会,OK,
苹果日报（即时新闻 要闻）,https://hk.news.appledaily.com/realtime/local,境外,境外网站,高,境外媒体,2071084,苹果日报_即时要闻,数据停采，python采集,问题
万维网（新闻）,http://news.creaders.net/breaking/index.html,境外,境外网站,高,境外媒体,502,万维网_即时新闻,OK,
东网（国际）,http://hk.on.cc/int/news/index.html,境外,境外网站,高,境外媒体,,,板块不存在,
文汇报,http://www.wenweipo.com,境外,境外网站,高,境外媒体,2480,文汇报,OK,
大公网,http://www.takungpao.com,境外,境外网站,高,境外媒体,2479,大公网,修改，试采OK,
联合早报（言论）,http://www.zaobao.com.sg/zopinions,境外,境外网站,高,境外媒体,4011897,联合早报_言论,新配，试采空白,问题
博闻社（大陆）,https://bowenpress.com/news/bowen_category/china,境外,境外网站,高,境外媒体,2607875,博闻社_大陆,数据停采，python采集,问题
东网（评论）,http://hk.on.cc/hk/commentary/index.html,境外,境外网站,高,境外媒体,2499711,东方报业集团_评论,OK,
