,confirmed,total_confirmed,suspected,total_suspected,death,total_death,cured,total_cured,date,province,city,region
455,1580,1580,0,,52,104,1528,1528,2020-07-31,湖北,荆州,1
456,11,11,0,,0,0,11,11,2020-07-31,湖北,神农架林区,1
457,931,931,0,,37,74,894,894,2020-07-31,湖北,宜昌,1
458,198,198,0,,9,18,189,189,2020-07-31,湖北,潜江,1
459,50340,50340,0,,3869,7738,46471,46471,2020-07-31,湖北,武汉,1
460,2907,2907,0,,125,250,2782,2782,2020-07-31,湖北,黄冈,1
461,3518,3518,0,,129,258,3389,3389,2020-07-31,湖北,孝感,1
462,1015,1015,0,,39,78,976,976,2020-07-31,湖北,黄石,1
463,928,928,0,,41,82,887,887,2020-07-31,湖北,荆门,1
464,1394,1394,0,,59,118,1335,1335,2020-07-31,湖北,鄂州,1
